origem,destino,distancia_real(km),distancia_geodesica(km),Beta
RioDeJaneiro,SaoPaulo,433
RioDeJaneiro,BeloHorizonte,441
SaoPaulo,Fortaleza,3089
SaoPaulo,Salvador,1990
RioBranco,PortoAlegre,4091
Belem,Florianopolis,3540
Brasilia,Fortaleza,2117
Curitiba,Salvador,2397
Curitiba,Vitoria,1418
Curitiba,CampoGrande,1284
Recife,JoaoPessoa,116
Recife,Natal,287
Manaus,RioDeJaneiro,4284
Manaus,Teresina,3604
Manaus,Brasilia,3424
Cuiaba,Goiania,897
Cuiaba,CampoGrande,708
Cuiaba,Salvador,2512
Teresina,Fortaleza,604
Teresina,BeloHorizonte,2203
